S,V,L,HP,HR,IK,Kprime,Sprime,Dprime,Y,constrained
  5.000000E-02,           NaN,  2.497516E-01,  3.633151E-02,  3.693752E-03, -4.655172E-02,  2.877539E-01,  5.026072E-02,  0.000000E+00,  2.558291E-01,0
  5.435742E-02,           NaN,  2.552543E-01,  3.771017E-02,  3.693752E-03, -4.655172E-02,  2.877539E-01,  5.396453E-02,  0.000000E+00,  2.614659E-01,0
  5.909457E-02,           NaN,  2.606604E-01,  3.909359E-02,  2.421460E-03, -9.827586E-02,  2.360298E-01,  5.553741E-02,  0.000000E+00,  2.670038E-01,0
  6.424457E-02,           NaN,  2.659605E-01,  4.047880E-02,  2.421460E-03, -9.827586E-02,  2.360298E-01,  5.991490E-02,  0.000000E+00,  2.724326E-01,0
  6.984337E-02,           NaN,  2.711389E-01,  4.186044E-02,  1.259921E-04, -9.827586E-02,  2.360298E-01,  5.973797E-02,  0.000000E+00,  2.777372E-01,0
  7.593011E-02,           NaN,  2.761839E-01,  4.323313E-02,  3.693752E-03, -1.500000E-01,  1.843057E-01,  7.230131E-02,  0.000000E+00,  2.829047E-01,0
  8.254729E-02,           NaN,  2.810846E-01,  4.459331E-02,  2.421460E-03, -1.500000E-01,  1.843057E-01,  7.547222E-02,  0.000000E+00,  2.879247E-01,0
  8.974115E-02,           NaN,  2.858291E-01,  4.593501E-02,  1.587401E-03, -1.500000E-01,  1.843057E-01,  7.990908E-02,  0.000000E+00,  2.927847E-01,0
  9.756194E-02,           NaN,  2.904067E-01,  4.725347E-02,  1.040629E-03, -4.655172E-02,  2.877539E-01,  8.540934E-02,  0.000000E+00,  2.974740E-01,0
  1.060643E-01,           NaN,  2.948103E-01,  4.854450E-02,  2.931733E-04, -4.655172E-02,  2.877539E-01,  9.094824E-02,  0.000000E+00,  3.019849E-01,0
  1.153076E-01,           NaN,  2.990303E-01,  4.980246E-02,  2.326918E-05, -4.655172E-02,  2.877539E-01,  9.809263E-02,  0.000000E+00,  3.063076E-01,0
  1.253565E-01,           NaN,  3.030608E-01,  5.102346E-02,  1.000000E-05, -4.655172E-02,  2.877539E-01,  1.065910E-01,  0.000000E+00,  3.104360E-01,0
  1.362811E-01,           NaN,  3.068957E-01,  5.220363E-02,  1.259921E-04, -1.500000E-01,  1.843057E-01,  1.162100E-01,  0.000000E+00,  3.143644E-01,0
  1.481578E-01,           NaN,  3.105316E-01,  5.333850E-02,  0.000000E+00, -1.500000E-01,  1.843057E-01,  1.259341E-01,  0.000000E+00,  3.180883E-01,0
  1.610695E-01,           NaN,  3.139649E-01,  5.442539E-02,  0.000000E+00, -9.827586E-02,  2.360298E-01,  1.369090E-01,  0.000000E+00,  3.216050E-01,0
  1.751064E-01,           NaN,  3.171942E-01,  5.546162E-02,  0.000000E+00, -9.827586E-02,  2.360298E-01,  1.488404E-01,  0.000000E+00,  3.249133E-01,0
  1.903666E-01,           NaN,  3.202222E-01,  5.644510E-02,  2.326918E-05,  5.172414E-03,  3.394781E-01,  1.618928E-01,  0.000000E+00,  3.280150E-01,0
  2.069568E-01,           NaN,  3.230510E-01,  5.737433E-02,  0.000000E+00,  5.172414E-03,  3.394781E-01,  1.759132E-01,  0.000000E+00,  3.309123E-01,0
  2.249927E-01,           NaN,  3.256807E-01,  5.824784E-02,  0.000000E+00, -4.655172E-02,  2.877539E-01,  1.912438E-01,  0.000000E+00,  3.336064E-01,0
  2.446004E-01,           NaN,  3.281198E-01,  5.906591E-02,  0.000000E+00, -9.827586E-02,  2.360298E-01,  2.079104E-01,  0.000000E+00,  3.361046E-01,0
  2.659170E-01,           NaN,  3.303728E-01,  5.982885E-02,  8.259481E-05, -4.655172E-02,  2.877539E-01,  2.262832E-01,  0.000000E+00,  3.384125E-01,0
  2.890912E-01,           NaN,  3.324471E-01,  6.053755E-02,  2.326918E-05, -4.655172E-02,  2.877539E-01,  2.458086E-01,  0.000000E+00,  3.405375E-01,0
  3.142850E-01,           NaN,  3.343508E-01,  6.119261E-02,  0.000000E+00, -4.655172E-02,  2.877539E-01,  2.671422E-01,  0.000000E+00,  3.424872E-01,0
  3.416744E-01,           NaN,  3.360913E-01,  6.179640E-02,  2.326918E-05, -4.655172E-02,  2.877539E-01,  2.905044E-01,  0.000000E+00,  3.442703E-01,0
  3.714507E-01,           NaN,  3.376780E-01,  6.235013E-02,  2.326918E-05, -4.655172E-02,  2.877539E-01,  3.158143E-01,  0.000000E+00,  3.458956E-01,0
  4.038221E-01,           NaN,  3.391228E-01,  6.285736E-02,  0.000000E+00, -4.655172E-02,  2.877539E-01,  3.432487E-01,  0.000000E+00,  3.473752E-01,0
  4.390145E-01,           NaN,  3.404305E-01,  6.331930E-02,  0.000000E+00, -9.827586E-02,  2.360298E-01,  3.731623E-01,  0.000000E+00,  3.487151E-01,0
  4.772738E-01,           NaN,  3.416143E-01,  6.373951E-02,  0.000000E+00,  5.172414E-03,  3.394781E-01,  4.056828E-01,  0.000000E+00,  3.499278E-01,0
  5.188675E-01,  0.000000E+00,  3.426836E-01,  6.412039E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  4.410373E-01,  0.000000E+00,  3.510227E-01,1
  5.640859E-01,  0.000000E+00,  3.436456E-01,  6.446490E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  4.794730E-01,  0.000000E+00,  3.520083E-01,1
  6.132450E-01,  0.000000E+00,  3.445099E-01,  6.477544E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  5.212583E-01,  0.000000E+00,  3.528936E-01,1
  6.666883E-01,  0.000000E+00,  3.452859E-01,  6.505499E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  5.666851E-01,  0.000000E+00,  3.536883E-01,1
  7.247891E-01,           NaN,  3.459797E-01,  6.530592E-02,  0.000000E+00, -1.500000E-01,  1.843057E-01,  6.160707E-01,  0.000000E+00,  3.543992E-01,0
  7.879532E-01,  0.000000E+00,  3.465996E-01,  6.553063E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  6.697602E-01,  0.000000E+00,  3.550344E-01,1
  8.566220E-01,  0.000000E+00,  3.471551E-01,  6.573239E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  7.281287E-01,  0.000000E+00,  3.556032E-01,1
  9.312752E-01,  0.000000E+00,  3.476486E-01,  6.591210E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  7.915839E-01,  0.000000E+00,  3.561088E-01,1
  1.012434E+00,           NaN,  3.480897E-01,  6.607303E-02,  0.000000E+00,  5.172414E-03,  3.394781E-01,  8.605691E-01,  0.000000E+00,  3.565605E-01,0
  1.100666E+00,  0.000000E+00,  3.484807E-01,  6.621608E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  9.355663E-01,  0.000000E+00,  3.569613E-01,1
  1.196587E+00,  0.000000E+00,  3.488288E-01,  6.634304E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.017099E+00,  0.000000E+00,  3.573175E-01,1
  1.300868E+00,  0.000000E+00,  3.491387E-01,  6.645659E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.105738E+00,  0.000000E+00,  3.576349E-01,1
  1.414237E+00,  0.000000E+00,  3.494129E-01,  6.655732E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.202101E+00,  0.000000E+00,  3.579159E-01,1
  1.537485E+00,  0.000000E+00,  3.496561E-01,  6.664643E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.306862E+00,  0.000000E+00,  3.581649E-01,1
  1.671474E+00,  0.000000E+00,  3.498707E-01,  6.672570E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.420753E+00,  0.000000E+00,  3.583852E-01,1
  1.817140E+00,  0.000000E+00,  3.500638E-01,  6.679634E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.544569E+00,  0.000000E+00,  3.585824E-01,1
  1.975501E+00,  0.000000E+00,  3.502319E-01,  6.685862E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.679176E+00,  0.000000E+00,  3.587550E-01,1
  2.147663E+00,  0.000000E+00,  3.503809E-01,  6.691346E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.825513E+00,  0.000000E+00,  3.589078E-01,1
  2.334828E+00,  0.000000E+00,  3.505144E-01,  6.696233E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.984604E+00,  0.000000E+00,  3.590441E-01,1
  2.538304E+00,  0.000000E+00,  3.506312E-01,  6.700585E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  2.157558E+00,  0.000000E+00,  3.591642E-01,1
  2.759513E+00,  0.000000E+00,  3.507350E-01,  6.704399E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  2.345586E+00,  0.000000E+00,  3.592703E-01,1
  3.000000E+00,           NaN,  3.508268E-01,  6.707797E-02,  2.931733E-04, -1.500000E-01,  1.843057E-01,  2.550794E+00,  0.000000E+00,  3.593644E-01,0
